时间t	称重电压
0.0000	0.00019236
0.1111	0.00019238
0.2222	0.00019237
0.3333	0.00019247
0.4444	0.00019241
0.5556	0.00019244
0.6667	0.00019238
0.7778	0.00019240
0.8889	0.00019235
1.0000	0.00019232
1.1111	0.00019240
1.2222	0.00019237
1.3333	0.00019230
1.4444	0.00019236
1.5556	0.00019238
1.6667	0.00019237
1.7778	0.00019225
1.8889	0.00019232
2.0000	0.00019236
2.1111	0.00019240
2.2222	0.00019242
2.3333	0.00019237
2.4444	0.00019233
2.5556	0.00019240
2.6667	0.00019225
2.7778	0.00019237
2.8889	0.00019236
3.0000	0.00019250
3.1111	0.00019231
3.2222	0.00019237
3.3333	0.00019248
3.4444	0.00019232
3.5556	0.00019236
3.6667	0.00019240
3.7778	0.00019235
3.8889	0.00019236
4.0000	0.00019236
4.1111	0.00019233
4.2222	0.00019237
4.3333	0.00019235
4.4444	0.00019240
4.5556	0.00019243
4.6667	0.00019238
4.7778	0.00019238
4.8889	0.00019245
5.0000	0.00019236
5.1111	0.00019254
5.2222	0.00019239
5.3333	0.00019238
5.4444	0.00019243
5.5556	0.00019243
5.6667	0.00019245
5.7778	0.00019236
5.8889	0.00019244
6.0000	0.00019249
6.1111	0.00019236
6.2222	0.00019243
6.3333	0.00019237
6.4444	0.00019234
6.5556	0.00019244
6.6667	0.00019241
6.7778	0.00019237
6.8889	0.00019238
7.0000	0.00019244
7.1111	0.00019243
7.2222	0.00019235
7.3333	0.00019247
7.4444	0.00019236
7.5556	0.00019247
7.6667	0.00019249
7.7778	0.00019242
7.8889	0.00019242
8.0000	0.00019246
8.1111	0.00019236
8.2222	0.00019238
8.3333	0.00019241
8.4444	0.00019243
8.5556	0.00019245
8.6667	0.00019236
8.7778	0.00019233
8.8889	0.00019233
9.0000	0.00019233
9.1111	0.00019234
9.2222	0.00019243
9.3333	0.00019237
9.4444	0.00019244
9.5556	0.00019237
9.6667	0.00019255
9.7778	0.00019244
9.8889	0.00019245
10.0000	0.00019246
10.1111	0.00019244
10.2222	0.00019230
10.3333	0.00019238
10.4444	0.00019240
10.5556	0.00019244
10.6667	0.00019224
10.7778	0.00019245
10.8889	0.00019233
11.0000	0.00019277
11.1111	0.00019245
11.2222	0.00019243
11.3333	0.00019239
11.4444	0.00019225
11.5556	0.00019231
11.6667	0.00019243
11.7778	0.00019225
11.8889	0.00019242
12.0000	0.00019236
12.1111	0.00019236
12.2222	0.00019251
12.3333	0.00019233
12.4444	0.00019242
12.5556	0.00019251
12.6667	0.00019229
12.7778	0.00019241
12.8889	0.00019253
13.0000	0.00019230
13.1111	0.00019253
13.2222	0.00019231
13.3333	0.00019248
13.4444	0.00019228
13.5556	0.00019233
13.6667	0.00019228
13.7778	0.00019233
13.8889	0.00019236
14.0000	0.00019241
14.1111	0.00019246
14.2222	0.00019234
14.3333	0.00019246
14.4444	0.00019244
14.5556	0.00019240
14.6667	0.00019241
14.7778	0.00019231
14.8889	0.00019237
15.0000	0.00019228
15.1111	0.00019245
15.2222	0.00019244
15.3333	0.00019242
15.4444	0.00019250
15.5556	0.00019239
15.6667	0.00019237
15.7778	0.00019240
15.8889	0.00019237
16.0000	0.00019238
16.1111	0.00019233
16.2222	0.00019239
16.3333	0.00019236
16.4444	0.00019232
16.5556	0.00019245
16.6667	0.00019249
16.7778	0.00019244
16.8889	0.00019237
17.0000	0.00019240
17.1111	0.00019244
17.2222	0.00019235
17.3333	0.00019236
17.4444	0.00019235
17.5556	0.00019242
17.6667	0.00019237
17.7778	0.00019231
17.8889	0.00019232
18.0000	0.00019243
18.1111	0.00019247
18.2222	0.00019247
18.3333	0.00019225
18.4444	0.00019241
18.5556	0.00019237
18.6667	0.00019246
18.7778	0.00019233
18.8889	0.00019247
19.0000	0.00019249
19.1111	0.00019242
19.2222	0.00019225
19.3333	0.00019246
19.4444	0.00019253
19.5556	0.00019240
19.6667	0.00019247
19.7778	0.00019239
19.8889	0.00019236
20.0000	0.00019249
20.1111	0.00019212
20.2222	0.00019243
20.3333	0.00019238
20.4444	0.00019225
20.5556	0.00019237
20.6667	0.00019239
20.7778	0.00019242
20.8889	0.00019238
21.0000	0.00019237
21.1111	0.00019253
21.2222	0.00019239
21.3333	0.00019239
21.4444	0.00019232
21.5556	0.00019240
21.6667	0.00019237
21.7778	0.00019246
21.8889	0.00019228
22.0000	0.00019249
22.1111	0.00019244
22.2222	0.00019229
22.3333	0.00019242
22.4444	0.00019246
22.5556	0.00019250
22.6667	0.00019239
22.7778	0.00019238
22.8889	0.00019237
23.0000	0.00019237
23.1111	0.00019248
23.2222	0.00019243
23.3333	0.00019233
23.4444	0.00019226
23.5556	0.00019241
23.6667	0.00019248
