时间t	称重电压
0.0000	0.00015413
0.1111	0.00015403
0.2222	0.00015414
0.3333	0.00015416
0.4444	0.00015411
0.5556	0.00015412
0.6667	0.00015412
0.7778	0.00015410
0.8889	0.00015411
1.0000	0.00015410
1.1111	0.00015406
1.2222	0.00015411
1.3333	0.00015404
1.4444	0.00015408
1.5556	0.00015404
1.6667	0.00015412
1.7778	0.00015412
1.8889	0.00015413
2.0000	0.00015422
2.1111	0.00015407
2.2222	0.00015411
2.3333	0.00015405
2.4444	0.00015409
2.5556	0.00015412
2.6667	0.00015406
2.7778	0.00015406
2.8889	0.00015410
3.0000	0.00015422
3.1111	0.00015415
3.2222	0.00015412
3.3333	0.00015413
3.4444	0.00015416
3.5556	0.00015412
3.6667	0.00015400
3.7778	0.00015416
3.8889	0.00015400
4.0000	0.00015413
4.1111	0.00015407
4.2222	0.00015410
4.3333	0.00015417
4.4444	0.00015411
4.5556	0.00015419
4.6667	0.00015421
4.7778	0.00015392
4.8889	0.00015416
5.0000	0.00015414
5.1111	0.00015395
5.2222	0.00015417
5.3333	0.00015413
5.4444	0.00015412
5.5556	0.00015412
5.6667	0.00015405
5.7778	0.00015407
5.8889	0.00015409
6.0000	0.00015412
6.1111	0.00015411
6.2222	0.00015401
6.3333	0.00015413
6.4444	0.00015405
6.5556	0.00015397
6.6667	0.00015401
6.7778	0.00015412
6.8889	0.00015424
7.0000	0.00015405
7.1111	0.00015394
7.2222	0.00015418
7.3333	0.00015415
7.4444	0.00015410
7.5556	0.00015407
7.6667	0.00015412
7.7778	0.00015416
7.8889	0.00015410
8.0000	0.00015406
8.1111	0.00015404
8.2222	0.00015426
8.3333	0.00015410
8.4444	0.00015410
8.5556	0.00015407
8.6667	0.00015413
8.7778	0.00015409
8.8889	0.00015420
9.0000	0.00015403
9.1111	0.00015414
9.2222	0.00015403
9.3333	0.00015416
9.4444	0.00015419
9.5556	0.00015409
9.6667	0.00015408
9.7778	0.00015419
9.8889	0.00015411
10.0000	0.00015409
10.1111	0.00015412
10.2222	0.00015413
10.3333	0.00015410
10.4444	0.00015404
10.5556	0.00015415
10.6667	0.00015413
10.7778	0.00015406
10.8889	0.00015418
11.0000	0.00015407
11.1111	0.00015413
11.2222	0.00015419
11.3333	0.00015419
11.4444	0.00015416
11.5556	0.00015409
11.6667	0.00015415
11.7778	0.00015416
11.8889	0.00015415
12.0000	0.00015426
12.1111	0.00015418
12.2222	0.00015416
12.3333	0.00015419
12.4444	0.00015412
12.5556	0.00015423
12.6667	0.00015413
12.7778	0.00015415
12.8889	0.00015432
13.0000	0.00015406
13.1111	0.00015417
13.2222	0.00015409
13.3333	0.00015415
13.4444	0.00015409
13.5556	0.00015403
13.6667	0.00015407
13.7778	0.00015418
13.8889	0.00015411
14.0000	0.00015403
14.1111	0.00015417
14.2222	0.00015422
14.3333	0.00015412
14.4444	0.00015420
14.5556	0.00015387
14.6667	0.00015413
14.7778	0.00015410
14.8889	0.00015406
15.0000	0.00015413
15.1111	0.00015412
15.2222	0.00015410
15.3333	0.00015425
15.4444	0.00015419
15.5556	0.00015421
15.6667	0.00015422
15.7778	0.00015410
15.8889	0.00015417
16.0000	0.00015410
16.1111	0.00015417
16.2222	0.00015401
16.3333	0.00015403
16.4444	0.00015432
16.5556	0.00015419
16.6667	0.00015413
16.7778	0.00015413
16.8889	0.00015410
17.0000	0.00015417
17.1111	0.00015425
17.2222	0.00015418
17.3333	0.00015417
17.4444	0.00015409
17.5556	0.00015409
17.6667	0.00015419
17.7778	0.00015420
17.8889	0.00015417
18.0000	0.00015409
18.1111	0.00015410
18.2222	0.00015409
18.3333	0.00015417
18.4444	0.00015408
18.5556	0.00015414
18.6667	0.00015399
18.7778	0.00015410
18.8889	0.00015410
19.0000	0.00015412
19.1111	0.00015413
19.2222	0.00015407
19.3333	0.00015410
19.4444	0.00015409
19.5556	0.00015412
19.6667	0.00015419
19.7778	0.00015407
19.8889	0.00015418
20.0000	0.00015404
20.1111	0.00015410
20.2222	0.00015404
20.3333	0.00015406
20.4444	0.00015412
20.5556	0.00015407
20.6667	0.00015417
20.7778	0.00015416
20.8889	0.00015407
21.0000	0.00015410
21.1111	0.00015405
21.2222	0.00015401
21.3333	0.00015412
21.4444	0.00015408
21.5556	0.00015403
21.6667	0.00015415
21.7778	0.00015412
21.8889	0.00015403
22.0000	0.00015413
22.1111	0.00015406
22.2222	0.00015410
22.3333	0.00015413
22.4444	0.00015403
22.5556	0.00015426
22.6667	0.00015410
22.7778	0.00015405
22.8889	0.00015414
23.0000	0.00015422
23.1111	0.00015415
23.2222	0.00015417
23.3333	0.00015415
23.4444	0.00015414
23.5556	0.00015408
23.6667	0.00015420
23.7778	0.00015413
23.8889	0.00015414
24.0000	0.00015410
24.1111	0.00015415
24.2222	0.00015414
24.3333	0.00015415
24.4444	0.00015406
24.5556	0.00015419
24.6667	0.00015407
24.7778	0.00015415
24.8889	0.00015407
25.0000	0.00015411
25.1111	0.00015420
25.2222	0.00015412
25.3333	0.00015415
25.4444	0.00015419
25.5556	0.00015417
25.6667	0.00015414
25.7778	0.00015410
25.8889	0.00015415
26.0000	0.00015415
26.1111	0.00015409
26.2222	0.00015409
26.3333	0.00015412
26.4444	0.00015410
26.5556	0.00015413
26.6667	0.00015413
26.7778	0.00015418
26.8889	0.00015415
27.0000	0.00015407
27.1111	0.00015406
27.2222	0.00015411
27.3333	0.00015409
27.4444	0.00015411
27.5556	0.00015415
27.6667	0.00015414
27.7778	0.00015411
27.8889	0.00015418
28.0000	0.00015414
28.1111	0.00015418
28.2222	0.00015418
28.3333	0.00015421
28.4444	0.00015418
28.5556	0.00015406
