时间t	称重电压
0.0000	0.00035877
0.1111	0.00035869
0.2222	0.00035870
0.3333	0.00035869
0.4444	0.00035863
0.5556	0.00035867
0.6667	0.00035877
0.7778	0.00035864
0.8889	0.00035881
1.0000	0.00035859
1.1111	0.00035866
1.2222	0.00035873
1.3333	0.00035874
1.4444	0.00035858
1.5556	0.00035872
1.6667	0.00035872
1.7778	0.00035857
1.8889	0.00035856
2.0000	0.00035871
2.1111	0.00035839
2.2222	0.00035833
2.3333	0.00035886
2.4444	0.00035867
2.5556	0.00035860
2.6667	0.00035829
2.7778	0.00035854
2.8889	0.00035886
3.0000	0.00035854
3.1111	0.00035848
3.2222	0.00035853
3.3333	0.00035861
3.4444	0.00035865
3.5556	0.00035896
3.6667	0.00035864
3.7778	0.00035860
3.8889	0.00035858
4.0000	0.00035851
4.1111	0.00035849
4.2222	0.00035857
4.3333	0.00035866
4.4444	0.00035852
4.5556	0.00035874
4.6667	0.00035843
4.7778	0.00035853
4.8889	0.00035868
5.0000	0.00035856
5.1111	0.00035853
5.2222	0.00035852
5.3333	0.00035860
5.4444	0.00035843
5.5556	0.00035851
5.6667	0.00035855
5.7778	0.00035851
5.8889	0.00035846
6.0000	0.00035854
6.1111	0.00035856
6.2222	0.00035859
6.3333	0.00035849
6.4444	0.00035840
6.5556	0.00035850
6.6667	0.00035859
6.7778	0.00035855
6.8889	0.00035847
7.0000	0.00035849
7.1111	0.00035866
7.2222	0.00035845
7.3333	0.00035837
7.4444	0.00035866
7.5556	0.00035832
7.6667	0.00035860
7.7778	0.00035858
7.8889	0.00035863
8.0000	0.00035869
8.1111	0.00035850
8.2222	0.00035855
8.3333	0.00035847
8.4444	0.00035850
8.5556	0.00035846
8.6667	0.00035838
8.7778	0.00035848
8.8889	0.00035853
9.0000	0.00035848
9.1111	0.00035841
9.2222	0.00035849
9.3333	0.00035860
9.4444	0.00035846
9.5556	0.00035851
9.6667	0.00035841
9.7778	0.00035849
9.8889	0.00035861
10.0000	0.00035842
10.1111	0.00035833
10.2222	0.00035851
10.3333	0.00035848
10.4444	0.00035847
10.5556	0.00035847
10.6667	0.00035840
10.7778	0.00035846
10.8889	0.00035849
11.0000	0.00035855
11.1111	0.00035845
11.2222	0.00035836
11.3333	0.00035847
11.4444	0.00035845
11.5556	0.00035848
11.6667	0.00035843
11.7778	0.00035845
11.8889	0.00035845
12.0000	0.00035844
12.1111	0.00035839
12.2222	0.00035842
12.3333	0.00035840
12.4444	0.00035835
12.5556	0.00035830
12.6667	0.00035851
12.7778	0.00035846
12.8889	0.00035836
13.0000	0.00035821
13.1111	0.00035831
13.2222	0.00035832
13.3333	0.00035842
13.4444	0.00035855
13.5556	0.00035838
13.6667	0.00035832
13.7778	0.00035840
13.8889	0.00035839
14.0000	0.00035841
14.1111	0.00035850
14.2222	0.00035829
14.3333	0.00035835
14.4444	0.00035836
14.5556	0.00035844
14.6667	0.00035852
14.7778	0.00035843
14.8889	0.00035832
15.0000	0.00035841
15.1111	0.00035849
15.2222	0.00035842
15.3333	0.00035846
15.4444	0.00035838
15.5556	0.00035843
15.6667	0.00035842
15.7778	0.00035856
15.8889	0.00035845
16.0000	0.00035844
16.1111	0.00035842
16.2222	0.00035828
16.3333	0.00035850
16.4444	0.00035836
16.5556	0.00035859
16.6667	0.00035843
16.7778	0.00035823
16.8889	0.00035837
17.0000	0.00035834
17.1111	0.00035831
17.2222	0.00035836
17.3333	0.00035837
17.4444	0.00035823
17.5556	0.00035832
17.6667	0.00035838
17.7778	0.00035838
17.8889	0.00035832
18.0000	0.00035820
18.1111	0.00035825
18.2222	0.00035834
18.3333	0.00035847
18.4444	0.00035829
18.5556	0.00035831
18.6667	0.00035828
18.7778	0.00035834
18.8889	0.00035835
19.0000	0.00035824
19.1111	0.00035819
19.2222	0.00035812
19.3333	0.00035828
19.4444	0.00035815
19.5556	0.00035818
19.6667	0.00035826
19.7778	0.00035828
19.8889	0.00035831
20.0000	0.00035833
20.1111	0.00035819
20.2222	0.00035852
20.3333	0.00035822
20.4444	0.00035828
20.5556	0.00035859
20.6667	0.00035778
20.7778	0.00035815
20.8889	0.00035850
21.0000	0.00035834
21.1111	0.00035771
21.2222	0.00035761
21.3333	0.00035875
21.4444	0.00035806
21.5556	0.00035815
21.6667	0.00035812
21.7778	0.00035826
21.8889	0.00035815
22.0000	0.00035806
22.1111	0.00035839
22.2222	0.00035801
22.3333	0.00035673
22.4444	0.00035800
22.5556	0.00035881
22.6667	0.00035822
22.7778	0.00035802
22.8889	0.00035816
23.0000	0.00035818
23.1111	0.00035821
23.2222	0.00035814
23.3333	0.00035825
23.4444	0.00035819
23.5556	0.00035817
23.6667	0.00035824
23.7778	0.00035819
23.8889	0.00035829
24.0000	0.00035823
24.1111	0.00035833
24.2222	0.00035800
24.3333	0.00035807
24.4444	0.00035838
24.5556	0.00035829
24.6667	0.00035809
24.7778	0.00035807
24.8889	0.00035822
25.0000	0.00035827
25.1111	0.00035818
25.2222	0.00035807
25.3333	0.00035809
25.4444	0.00035829
25.5556	0.00035814
25.6667	0.00035819
25.7778	0.00035832
25.8889	0.00035816
26.0000	0.00035821
26.1111	0.00035819
26.2222	0.00035812
26.3333	0.00035825
26.4444	0.00035813
26.5556	0.00035812
26.6667	0.00035828
26.7778	0.00035818
26.8889	0.00035808
27.0000	0.00035807
27.1111	0.00035812
27.2222	0.00035810
27.3333	0.00035818
27.4444	0.00035816
27.5556	0.00035820
27.6667	0.00035825
27.7778	0.00035807
27.8889	0.00035817
28.0000	0.00035819
28.1111	0.00035814
28.2222	0.00035809
28.3333	0.00035831
28.4444	0.00035797
28.5556	0.00035807
28.6667	0.00035835
28.7778	0.00035834
28.8889	0.00035799
29.0000	0.00035807
29.1111	0.00035819
29.2222	0.00035827
29.3333	0.00035791
29.4444	0.00035798
29.5556	0.00035810
29.6667	0.00035817
29.7778	0.00035794
29.8889	0.00035793
30.0000	0.00035797
30.1111	0.00035807
30.2222	0.00035796
30.3333	0.00035806
30.4444	0.00035808
30.5556	0.00035798
30.6667	0.00035807
30.7778	0.00035786
30.8889	0.00035811
31.0000	0.00035796
31.1111	0.00035800
31.2222	0.00035818
31.3333	0.00035794
31.4444	0.00035806
31.5556	0.00035805
31.6667	0.00035809
31.7778	0.00035812
31.8889	0.00035819
32.0000	0.00035807
32.1111	0.00035795
32.2222	0.00035790
32.3333	0.00035780
32.4444	0.00035811
32.5556	0.00035815
32.6667	0.00035812
32.7778	0.00035811
32.8889	0.00035796
33.0000	0.00035816
33.1111	0.00035793
33.2222	0.00035795
33.3333	0.00035793
33.4444	0.00035814
33.5556	0.00035815
33.6667	0.00035807
33.7778	0.00035801
33.8889	0.00035798
34.0000	0.00035798
34.1111	0.00035806
34.2222	0.00035810
34.3333	0.00035803
34.4444	0.00035794
34.5556	0.00035801
34.6667	0.00035806
34.7778	0.00035791
34.8889	0.00035799
35.0000	0.00035790
35.1111	0.00035802
35.2222	0.00035800
35.3333	0.00035807
35.4444	0.00035799
35.5556	0.00035786
35.6667	0.00035794
35.7778	0.00035779
35.8889	0.00035783
36.0000	0.00035789
36.1111	0.00035793
36.2222	0.00035793
36.3333	0.00035792
36.4444	0.00035780
36.5556	0.00035781
36.6667	0.00035771
36.7778	0.00035778
36.8889	0.00035781
37.0000	0.00035785
37.1111	0.00035802
37.2222	0.00035795
37.3333	0.00035801
37.4444	0.00035784
37.5556	0.00035811
37.6667	0.00035796
37.7778	0.00035791
37.8889	0.00035795
38.0000	0.00035781
38.1111	0.00035781
38.2222	0.00035761
38.3333	0.00035775
38.4444	0.00035810
38.5556	0.00035812
38.6667	0.00035786
38.7778	0.00035785
38.8889	0.00035794
39.0000	0.00035790
39.1111	0.00035813
39.2222	0.00035790
39.3333	0.00035763
39.4444	0.00035761
39.5556	0.00035803
39.6667	0.00035824
39.7778	0.00035795
39.8889	0.00035786
40.0000	0.00035789
40.1111	0.00035783
40.2222	0.00035786
40.3333	0.00035801
40.4444	0.00035777
40.5556	0.00035783
40.6667	0.00035790
40.7778	0.00035791
40.8889	0.00035779
41.0000	0.00035788
41.1111	0.00035796
41.2222	0.00035795
41.3333	0.00035777
41.4444	0.00035776
41.5556	0.00035792
41.6667	0.00035808
41.7778	0.00035767
41.8889	0.00035791
42.0000	0.00035786
42.1111	0.00035775
42.2222	0.00035776
42.3333	0.00035783
42.4444	0.00035795
42.5556	0.00035789
42.6667	0.00035778
42.7778	0.00035788
42.8889	0.00035774
43.0000	0.00035802
43.1111	0.00035794
43.2222	0.00035781
43.3333	0.00035762
43.4444	0.00035784
43.5556	0.00035775
43.6667	0.00035785
43.7778	0.00035788
43.8889	0.00035770
44.0000	0.00035791
44.1111	0.00035785
44.2222	0.00035786
44.3333	0.00035802
44.4444	0.00035788
44.5556	0.00035778
44.6667	0.00035781
44.7778	0.00035783
44.8889	0.00035783
45.0000	0.00035775
45.1111	0.00035752
45.2222	0.00035779
45.3333	0.00035787
45.4444	0.00035787
45.5556	0.00035772
45.6667	0.00035780
45.7778	0.00035776
45.8889	0.00035773
46.0000	0.00035799
46.1111	0.00035774
46.2222	0.00035774
46.3333	0.00035781
46.4444	0.00035774
46.5556	0.00035780
46.6667	0.00035780
46.7778	0.00035778
46.8889	0.00035790
47.0000	0.00035787
47.1111	0.00035773
47.2222	0.00035771
47.3333	0.00035771
47.4444	0.00035767
47.5556	0.00035770
47.6667	0.00035774
47.7778	0.00035771
47.8889	0.00035765
48.0000	0.00035773
48.1111	0.00035756
48.2222	0.00035761
48.3333	0.00035784
48.4444	0.00035783
48.5556	0.00035773
48.6667	0.00035762
48.7778	0.00035783
48.8889	0.00035761
49.0000	0.00035757
49.1111	0.00035771
49.2222	0.00035764
49.3333	0.00035767
49.4444	0.00035777
49.5556	0.00035751
49.6667	0.00035777
49.7778	0.00035755
49.8889	0.00035770
50.0000	0.00035780
50.1111	0.00035771
50.2222	0.00035738
50.3333	0.00035752
50.4444	0.00035768
50.5556	0.00035774
50.6667	0.00035740
50.7778	0.00035767
