时间t	称重电压
0.0000	0.00028263
0.1111	0.00028266
0.2222	0.00028275
0.3333	0.00028262
0.4444	0.00028273
0.5556	0.00028279
0.6667	0.00028266
0.7778	0.00028263
0.8889	0.00028265
1.0000	0.00028264
1.1111	0.00028266
1.2222	0.00028276
1.3333	0.00028264
1.4444	0.00028269
1.5556	0.00028269
1.6667	0.00028266
1.7778	0.00028266
1.8889	0.00028269
2.0000	0.00028270
2.1111	0.00028262
2.2222	0.00028264
2.3333	0.00028271
2.4444	0.00028280
2.5556	0.00028257
2.6667	0.00028263
2.7778	0.00028272
2.8889	0.00028268
3.0000	0.00028267
3.1111	0.00028254
3.2222	0.00028275
3.3333	0.00028272
3.4444	0.00028253
3.5556	0.00028275
3.6667	0.00028275
3.7778	0.00028264
3.8889	0.00028179
4.0000	0.00028243
4.1111	0.00028304
4.2222	0.00028298
4.3333	0.00028227
4.4444	0.00028261
4.5556	0.00028295
4.6667	0.00028279
4.7778	0.00028257
4.8889	0.00028262
5.0000	0.00028281
5.1111	0.00028255
5.2222	0.00028259
5.3333	0.00028269
5.4444	0.00028269
5.5556	0.00028261
5.6667	0.00028252
5.7778	0.00028264
5.8889	0.00028268
6.0000	0.00028265
6.1111	0.00028270
6.2222	0.00028281
6.3333	0.00028270
6.4444	0.00028264
6.5556	0.00028265
6.6667	0.00028273
6.7778	0.00028266
6.8889	0.00028273
7.0000	0.00028274
7.1111	0.00028284
7.2222	0.00028267
7.3333	0.00028275
7.4444	0.00028276
7.5556	0.00028267
7.6667	0.00028275
7.7778	0.00028278
7.8889	0.00028268
8.0000	0.00028277
8.1111	0.00028277
8.2222	0.00028258
8.3333	0.00028265
8.4444	0.00028266
8.5556	0.00028272
8.6667	0.00028261
8.7778	0.00028265
8.8889	0.00028264
9.0000	0.00028268
9.1111	0.00028268
9.2222	0.00028264
9.3333	0.00028271
9.4444	0.00028260
9.5556	0.00028267
9.6667	0.00028284
9.7778	0.00028274
9.8889	0.00028268
10.0000	0.00028283
10.1111	0.00028276
10.2222	0.00028265
10.3333	0.00028276
10.4444	0.00028262
10.5556	0.00028271
10.6667	0.00028259
10.7778	0.00028267
10.8889	0.00028265
11.0000	0.00028275
11.1111	0.00028272
11.2222	0.00028273
11.3333	0.00028273
11.4444	0.00028276
11.5556	0.00028267
11.6667	0.00028271
11.7778	0.00028265
11.8889	0.00028268
12.0000	0.00028282
12.1111	0.00028282
12.2222	0.00028266
12.3333	0.00028272
12.4444	0.00028273
12.5556	0.00028257
12.6667	0.00028276
12.7778	0.00028279
12.8889	0.00028271
13.0000	0.00028264
13.1111	0.00028279
13.2222	0.00028272
13.3333	0.00028266
13.4444	0.00028267
13.5556	0.00028272
13.6667	0.00028278
13.7778	0.00028279
13.8889	0.00028267
14.0000	0.00028271
14.1111	0.00028261
14.2222	0.00028273
14.3333	0.00028267
14.4444	0.00028260
14.5556	0.00028278
14.6667	0.00028266
14.7778	0.00028266
14.8889	0.00028271
15.0000	0.00028262
15.1111	0.00028269
15.2222	0.00028266
15.3333	0.00028263
15.4444	0.00028265
