时间t	称重电压
0.0000	0.00015031
0.1111	0.00015027
0.2222	0.00015026
0.3333	0.00015038
0.4444	0.00015032
0.5556	0.00015029
0.6667	0.00015035
0.7778	0.00015026
0.8889	0.00015024
1.0000	0.00015030
1.1111	0.00015026
1.2222	0.00015032
1.3333	0.00015032
1.4444	0.00015030
1.5556	0.00015017
1.6667	0.00015027
1.7778	0.00015025
1.8889	0.00015035
2.0000	0.00015030
2.1111	0.00015024
2.2222	0.00015027
2.3333	0.00015021
2.4444	0.00015027
2.5556	0.00015026
2.6667	0.00015040
2.7778	0.00015026
2.8889	0.00015036
3.0000	0.00015030
3.1111	0.00015032
3.2222	0.00015029
3.3333	0.00015029
3.4444	0.00015025
3.5556	0.00015021
3.6667	0.00015034
3.7778	0.00015026
3.8889	0.00015032
4.0000	0.00015024
4.1111	0.00015030
4.2222	0.00015024
4.3333	0.00015017
4.4444	0.00015024
4.5556	0.00015029
4.6667	0.00015029
4.7778	0.00015036
4.8889	0.00015029
5.0000	0.00015037
5.1111	0.00015037
5.2222	0.00015032
5.3333	0.00015037
5.4444	0.00015029
5.5556	0.00015026
5.6667	0.00015020
5.7778	0.00015019
5.8889	0.00015023
6.0000	0.00015029
6.1111	0.00015037
6.2222	0.00015041
6.3333	0.00015027
6.4444	0.00015023
6.5556	0.00015031
6.6667	0.00015039
6.7778	0.00015033
6.8889	0.00015034
7.0000	0.00015016
7.1111	0.00015024
7.2222	0.00015027
7.3333	0.00015020
7.4444	0.00015028
7.5556	0.00015027
7.6667	0.00015030
7.7778	0.00015038
7.8889	0.00015040
8.0000	0.00015027
8.1111	0.00015036
8.2222	0.00015033
8.3333	0.00015025
8.4444	0.00015022
8.5556	0.00015035
8.6667	0.00015035
8.7778	0.00015027
8.8889	0.00015032
9.0000	0.00015034
9.1111	0.00015029
9.2222	0.00015034
9.3333	0.00015037
9.4444	0.00015036
9.5556	0.00015027
9.6667	0.00015036
9.7778	0.00015025
9.8889	0.00015026
10.0000	0.00015032
10.1111	0.00015026
10.2222	0.00015027
10.3333	0.00015035
10.4444	0.00015025
10.5556	0.00015027
10.6667	0.00015026
10.7778	0.00015023
10.8889	0.00015022
11.0000	0.00015032
11.1111	0.00015027
11.2222	0.00015028
11.3333	0.00015021
11.4444	0.00015035
11.5556	0.00015027
11.6667	0.00015039
11.7778	0.00015023
11.8889	0.00015033
12.0000	0.00015028
12.1111	0.00015033
12.2222	0.00015025
12.3333	0.00015035
12.4444	0.00015032
12.5556	0.00015028
12.6667	0.00015023
12.7778	0.00015024
12.8889	0.00015029
13.0000	0.00015026
13.1111	0.00015026
13.2222	0.00015024
13.3333	0.00015024
13.4444	0.00015034
13.5556	0.00015032
13.6667	0.00015027
13.7778	0.00015030
13.8889	0.00015027
14.0000	0.00015039
14.1111	0.00015036
14.2222	0.00015036
14.3333	0.00015024
14.4444	0.00015021
14.5556	0.00015027
14.6667	0.00015030
14.7778	0.00015030
14.8889	0.00015030
15.0000	0.00015038
15.1111	0.00015038
15.2222	0.00015029
15.3333	0.00015033
15.4444	0.00015021
15.5556	0.00015030
15.6667	0.00015027
15.7778	0.00015035
15.8889	0.00015032
16.0000	0.00015034
16.1111	0.00015037
16.2222	0.00015035
16.3333	0.00015028
16.4444	0.00015038
16.5556	0.00015029
16.6667	0.00015017
16.7778	0.00015023
16.8889	0.00015027
17.0000	0.00015031
17.1111	0.00015021
17.2222	0.00015042
17.3333	0.00015021
17.4444	0.00015023
17.5556	0.00015033
17.6667	0.00015028
17.7778	0.00015030
17.8889	0.00015022
18.0000	0.00015033
18.1111	0.00015026
18.2222	0.00015021
18.3333	0.00015038
18.4444	0.00015027
18.5556	0.00015030
18.6667	0.00015037
18.7778	0.00015038
18.8889	0.00015025
19.0000	0.00015036
19.1111	0.00015021
19.2222	0.00015033
19.3333	0.00015021
19.4444	0.00015018
19.5556	0.00015026
19.6667	0.00015033
19.7778	0.00015029
19.8889	0.00015033
20.0000	0.00015028
20.1111	0.00015024
20.2222	0.00015026
20.3333	0.00015030
20.4444	0.00015031
20.5556	0.00015034
20.6667	0.00015024
20.7778	0.00015038
20.8889	0.00015037
21.0000	0.00015029
21.1111	0.00015024
21.2222	0.00015030
21.3333	0.00015027
21.4444	0.00015024
21.5556	0.00015026
21.6667	0.00015029
21.7778	0.00015029
21.8889	0.00015026
22.0000	0.00015028
22.1111	0.00015039
22.2222	0.00015041
22.3333	0.00015025
22.4444	0.00015032
22.5556	0.00015032
22.6667	0.00015032
22.7778	0.00015016
22.8889	0.00015027
23.0000	0.00015031
23.1111	0.00015025
23.2222	0.00015027
23.3333	0.00015022
23.4444	0.00015022
23.5556	0.00015030
23.6667	0.00015025
23.7778	0.00015033
23.8889	0.00015022
24.0000	0.00015010
24.1111	0.00015032
24.2222	0.00015032
24.3333	0.00015030
24.4444	0.00015024
