时间t	称重电压
0.0000	0.00013968
0.1111	0.00013958
0.2222	0.00013958
0.3333	0.00013947
0.4444	0.00013946
0.5556	0.00013947
0.6667	0.00013951
0.7778	0.00013951
0.8889	0.00013961
1.0000	0.00013947
1.1111	0.00013950
1.2222	0.00013952
1.3333	0.00013953
1.4444	0.00013940
1.5556	0.00013947
1.6667	0.00013949
1.7778	0.00013950
1.8889	0.00013955
2.0000	0.00013957
2.1111	0.00013947
2.2222	0.00013958
2.3333	0.00013959
2.4444	0.00013944
2.5556	0.00013952
2.6667	0.00013958
2.7778	0.00013959
2.8889	0.00013960
3.0000	0.00013948
3.1111	0.00013959
3.2222	0.00013957
3.3333	0.00013957
3.4444	0.00013955
3.5556	0.00013942
3.6667	0.00013949
3.7778	0.00013952
3.8889	0.00013948
4.0000	0.00013956
4.1111	0.00013962
4.2222	0.00013951
4.3333	0.00013953
4.4444	0.00013939
4.5556	0.00013952
4.6667	0.00013950
4.7778	0.00013961
4.8889	0.00013959
5.0000	0.00013958
5.1111	0.00013959
5.2222	0.00013951
5.3333	0.00013961
5.4444	0.00013957
5.5556	0.00013949
5.6667	0.00013949
5.7778	0.00013950
5.8889	0.00013963
6.0000	0.00013962
6.1111	0.00013957
6.2222	0.00013955
6.3333	0.00013947
6.4444	0.00013956
6.5556	0.00013946
6.6667	0.00013958
6.7778	0.00013958
6.8889	0.00013954
7.0000	0.00013951
7.1111	0.00013954
7.2222	0.00013951
7.3333	0.00013961
7.4444	0.00013961
7.5556	0.00013954
7.6667	0.00013959
7.7778	0.00013962
7.8889	0.00013955
8.0000	0.00013952
8.1111	0.00013958
8.2222	0.00013958
8.3333	0.00013949
8.4444	0.00013953
8.5556	0.00013947
8.6667	0.00013953
8.7778	0.00013952
8.8889	0.00013947
9.0000	0.00013952
9.1111	0.00013950
9.2222	0.00013953
9.3333	0.00013958
9.4444	0.00013951
9.5556	0.00013954
9.6667	0.00013958
9.7778	0.00013952
9.8889	0.00013951
10.0000	0.00013947
10.1111	0.00013958
10.2222	0.00013953
10.3333	0.00013953
10.4444	0.00013944
10.5556	0.00013963
10.6667	0.00013962
10.7778	0.00013954
10.8889	0.00013953
11.0000	0.00013957
11.1111	0.00013958
11.2222	0.00013966
11.3333	0.00013951
11.4444	0.00013955
11.5556	0.00013950
11.6667	0.00013952
11.7778	0.00013959
11.8889	0.00013955
12.0000	0.00013956
12.1111	0.00013954
12.2222	0.00013957
12.3333	0.00013954
12.4444	0.00013954
12.5556	0.00013951
12.6667	0.00013951
12.7778	0.00013951
12.8889	0.00013956
13.0000	0.00013955
13.1111	0.00013955
13.2222	0.00013952
13.3333	0.00013954
13.4444	0.00013963
13.5556	0.00013949
13.6667	0.00013957
13.7778	0.00013956
13.8889	0.00013959
14.0000	0.00013954
14.1111	0.00013952
14.2222	0.00013956
14.3333	0.00013960
14.4444	0.00013948
14.5556	0.00013943
14.6667	0.00013958
14.7778	0.00013952
14.8889	0.00013964
15.0000	0.00013947
15.1111	0.00013946
15.2222	0.00013945
15.3333	0.00013953
15.4444	0.00013953
15.5556	0.00013945
15.6667	0.00013948
15.7778	0.00013953
15.8889	0.00013957
16.0000	0.00013953
16.1111	0.00013958
16.2222	0.00013953
16.3333	0.00013952
16.4444	0.00013959
16.5556	0.00013951
16.6667	0.00013958
16.7778	0.00013952
16.8889	0.00013953
17.0000	0.00013943
17.1111	0.00013942
17.2222	0.00013954
17.3333	0.00013951
17.4444	0.00013959
17.5556	0.00013965
17.6667	0.00013963
17.7778	0.00013953
17.8889	0.00013952
18.0000	0.00013960
18.1111	0.00013956
18.2222	0.00013952
18.3333	0.00013959
18.4444	0.00013961
18.5556	0.00013958
18.6667	0.00013955
18.7778	0.00013953
18.8889	0.00013955
19.0000	0.00013959
19.1111	0.00013956
19.2222	0.00013956
19.3333	0.00013958
19.4444	0.00013963
19.5556	0.00013959
19.6667	0.00013954
19.7778	0.00013947
19.8889	0.00013958
20.0000	0.00013959
20.1111	0.00013952
20.2222	0.00013957
20.3333	0.00013943
20.4444	0.00013950
20.5556	0.00013945
20.6667	0.00013953
20.7778	0.00013956
20.8889	0.00013949
21.0000	0.00013952
21.1111	0.00013948
21.2222	0.00013954
21.3333	0.00013950
21.4444	0.00013959
21.5556	0.00013957
21.6667	0.00013945
21.7778	0.00013954
21.8889	0.00013947
22.0000	0.00013949
22.1111	0.00013959
22.2222	0.00013953
22.3333	0.00013953
22.4444	0.00013953
22.5556	0.00013954
22.6667	0.00013946
22.7778	0.00013958
22.8889	0.00013949
23.0000	0.00013953
23.1111	0.00013956
23.2222	0.00013954
23.3333	0.00013959
23.4444	0.00013955
23.5556	0.00013948
23.6667	0.00013962
23.7778	0.00013953
23.8889	0.00013957
24.0000	0.00013953
24.1111	0.00013960
24.2222	0.00013955
24.3333	0.00013954
24.4444	0.00013951
24.5556	0.00013950
24.6667	0.00013946
24.7778	0.00013961
24.8889	0.00013950
25.0000	0.00013953
25.1111	0.00013949
25.2222	0.00013953
25.3333	0.00013957
25.4444	0.00013963
25.5556	0.00013952
25.6667	0.00013951
25.7778	0.00013950
25.8889	0.00013946
26.0000	0.00013954
26.1111	0.00013953
26.2222	0.00013954
26.3333	0.00013954
26.4444	0.00013945
26.5556	0.00013960
26.6667	0.00013955
26.7778	0.00013958
26.8889	0.00013951
27.0000	0.00013960
27.1111	0.00013954
27.2222	0.00013951
27.3333	0.00013956
27.4444	0.00013955
27.5556	0.00013943
27.6667	0.00013955
27.7778	0.00013950
27.8889	0.00013948
28.0000	0.00013950
28.1111	0.00013945
28.2222	0.00013955
28.3333	0.00013951
28.4444	0.00013957
28.5556	0.00013951
28.6667	0.00013950
28.7778	0.00013959
28.8889	0.00013955
29.0000	0.00013951
29.1111	0.00013952
29.2222	0.00013965
29.3333	0.00013954
29.4444	0.00013953
29.5556	0.00013952
29.6667	0.00013961
29.7778	0.00013955
29.8889	0.00013951
30.0000	0.00013956
30.1111	0.00013947
30.2222	0.00013952
30.3333	0.00013962
30.4444	0.00013957
30.5556	0.00013951
30.6667	0.00013956
30.7778	0.00013955
